NPR/PBS/Marist,4/10 - 4/13,827 RV,39,54,-15
Gallup,4/9 - 4/15,1500 A,39,55,-16
ABC News/Wash Post,4/8 - 4/11,865 RV,44,54,-10
NBC News/Wall St. Jrnl,4/8 - 4/11,900 A,39,57,-18
Economist/YouGov,4/8 - 4/10,1292 RV,42,53,-11
Rasmussen Reports,4/8 - 4/10,1500 LV,49,50,-1
Reuters/Ipsos,4/6 - 4/10,1219 RV,39,58,-19
Quinnipiac,4/6 - 4/9,1181 RV,41,52,-11
Gallup,4/2 - 4/8,1500 A,41,54,-13
Economist/YouGov,4/1 - 4/3,1246 RV,41,55,-14
Rasmussen Reports,4/1 - 4/3,1500 LV,51,48,3
Reuters/Ipsos,3/30 - 4/3,1519 RV,41,56,-15
Harvard-Harris,3/27 - 3/29,1340 RV,44,56,-12
Gallup,3/25 - 3/31,1500 A,39,55,-16
Economist/YouGov,3/25 - 3/27,1330 RV,41,54,-13
Reuters/Ipsos,3/23 - 3/27,1392 RV,41,55,-14
Rasmussen Reports,3/25 - 3/27,1500 LV,45,53,-8
IBD/TIPP,3/22 - 3/29,902 A,38,56,-18
CNN,3/22 - 3/25,913 RV,43,53,-10
PPP (D),3/23 - 3/25,846 RV,39,54,-15
Gallup,3/19 - 3/25,1500 A,39,55,-16
Marist,3/19 - 3/21,1015 RV,42,51,-9
FOX News,3/18 - 3/21,1014 RV,45,52,-7
Economist/YouGov,3/18 - 3/20,1284 RV,41,54,-13
CNBC,3/17 - 3/20,801 A,39,50,-11
Quinnipiac,3/16 - 3/20,1291 RV,40,53,-13
Reuters/Ipsos,3/16 - 3/20,1337 RV,44,52,-8
Rasmussen Reports,3/18 - 3/20,1500 LV,47,52,-5
Gallup,3/12 - 3/18,1500 A,40,56,-16
NBC News/Wall St. Jrnl,3/10 - 3/14,1100 A,43,53,-10
Economist/YouGov,3/10 - 3/13,1291 RV,42,54,-12
Pew Research,3/7 - 3/14,RV,42,53,-11
Rasmussen Reports,3/11 - 3/13,1500 LV,47,52,-5
Reuters/Ipsos,3/9 - 3/13,1411 A,39,56,-17
CBS News,3/8 - 3/11,1223 A,38,57,-19
Gallup,3/5 - 3/11,1500 A,39,56,-17
GWU/Battleground,3/4 - 3/8,1000 RV,42,55,-13
Marist,3/5 - 3/6,867 RV,44,49,-5
Economist/YouGov,3/4 - 3/6,1310 RV,41,54,-13
Quinnipiac,3/3 - 3/5,1122 RV,38,56,-18
Monmouth,3/2 - 3/5,708 RV,40,54,-14
Reuters/Ipsos,3/2 - 3/6,2927 A,40,54,-14
Rasmussen Reports,3/4 - 3/6,1500 LV,46,53,-7
Gallup,2/26 - 3/4,1500 A,39,55,-16
IBD/TIPP,2/22 - 3/1,901 A,37,58,-21
Economist/YouGov,2/25 - 2/27,1296 RV,44,53,-9
Reuters/Ipsos,2/23 - 2/27,1651 A,40,56,-16
Rasmussen Reports,2/25 - 2/27,1500 LV,49,50,-1
Gallup,2/19 - 2/25,1500 A,39,56,-17
USA Today/Suffolk,2/20 - 2/24,1000 RV,38,60,-22
CNN,2/20 - 2/23,909 RV,39,56,-17
Marist,2/20 - 2/21,819 RV,40,53,-13
Economist/YouGov,2/18 - 2/20,1308 RV,44,51,-7
Rasmussen Reports,2/18 - 2/20,1500 LV,48,51,-3
Reuters/Ipsos,2/16 - 2/20,1104 A,40,55,-15
Quinnipiac,2/16 - 2/19,1249 RV,37,58,-21
Harvard-Harris,2/16 - 2/19,1934 RV,45,55,-10
Gallup,2/12 - 2/18,1500 A,37,59,-22
Economist/YouGov,2/11 - 2/13,1280 RV,45,50,-5
FOX News,2/10 - 2/13,1005 RV,43,53,-10
Rasmussen Reports,2/11 - 2/13,1500 LV,47,52,-5
Reuters/Ipsos,2/9 - 2/13,1515 A,39,54,-15
PPP (D),2/9 - 2/11,687 RV,44,50,-6
Gallup,2/5 - 2/11,1500 A,40,57,-17
Marist,2/5 - 2/7,807 RV,39,56,-17
Economist/YouGov,2/4 - 2/6,1320 RV,45,53,-8
Reuters/Ipsos,2/2 - 2/6,3110 A,40,54,-14
Rasmussen Reports,2/4 - 2/6,1500 LV,48,51,-3
Quinnipiac,2/2 - 2/5,1333 RV,40,55,-15
Gallup,1/29 - 2/4,1500 A,40,57,-17
IBD/TIPP,1/25 - 2/2,900 A,35,58,-23
Monmouth,1/28 - 1/30,711 RV,44,48,-4
Economist/YouGov,1/28 - 1/30,1264 RV,44,53,-9
Rasmussen Reports,1/28 - 1/30,1500 LV,44,54,-10
Reuters/Ipsos,1/26 - 1/30,1856 A,41,53,-12
Gallup,1/21 - 1/28,1500 A,38,58,-20
FOX News,1/21 - 1/23,1002 RV,45,53,-8
Economist/YouGov,1/21 - 1/23,1301 RV,43,54,-11
Reuters/Ipsos,1/19 - 1/23,2981 A,37,59,-22
Quinnipiac,1/19 - 1/23,1245 RV,36,58,-22
Rasmussen Reports,1/21 - 1/23,1500 LV,44,55,-11
Gallup,1/15 - 1/21,1500 A,36,59,-23
Harvard-Harris,1/17 - 1/19,980 RV,44,56,-12
ABC News/Wash Post,1/15 - 1/18,846 RV,38,58,-20
CNN,1/14 - 1/18,RV,43,53,-10
Economist/YouGov,1/14 - 1/16,1311 RV,42,54,-12
NBC News/Wall St. Jrnl,1/13 - 1/17,900 A,39,57,-18
Harvard-Harris,1/13 - 1/16,1192 RV,42,58,-16
CBS News,1/13 - 1/16,1225 A,37,58,-21
Quinnipiac,1/12 - 1/16,1212 RV,38,57,-19
Reuters/Ipsos,1/12 - 1/16,1638 A,39,56,-17
Rasmussen Reports,1/14 - 1/16,1500 LV,45,54,-9
Pew Research,1/10 - 1/15,1215 RV,39,55,-16
Gallup,1/8 - 1/14,1500 A,38,57,-19
Emerson,1/8 - 1/11,600 RV,39,52,-13
NPR/PBS/Marist,1/8 - 1/10,1092 RV,40,51,-11
Economist/YouGov,1/8 - 1/9,1327 RV,42,54,-12
Quinnipiac,1/5 - 1/9,1106 RV,36,59,-23
Rasmussen Reports,1/7 - 1/9,1500 LV,44,55,-11
Reuters/Ipsos,1/5 - 1/9,1616 A,41,55,-14
IBD/TIPP,1/2 - 1/10,901 A,35,58,-23
Gallup,1/2 - 1/7,1500 A,37,58,-21
Economist/YouGov,12/31 - 1/2,1277 RV,43,54,-11
Reuters/Ipsos,12/29 - 1/2,1770 A,41,54,-13
Gallup,12/28 - 12/30,1500 A,40,55,-15
Rasmussen Reports,12/26 - 12/28,1500 LV,45,53,-8
Economist/YouGov,12/24 - 12/26,1004 RV,43,53,-10
Economist/YouGov,12/17 - 12/19,1291 RV,41,55,-14
Rasmussen Reports,12/17 - 12/19,1500 LV,44,54,-10
Reuters/Ipsos,12/15 - 12/19,2492 A,35,60,-25
CNN,12/14 - 12/17,898 RV,36,59,-23
Quinnipiac,12/13 - 12/18,1230 RV,37,59,-22
NBC News/Wall St. Jrnl,12/13 - 12/15,900 A,41,56,-15
PPP (D),12/11 - 12/12,862 RV,41,56,-15
CNBC,12/10 - 12/13,800 A,42,49,-7
Economist/YouGov,12/10 - 12/12,1338 RV,41,54,-13
Monmouth,12/10 - 12/12,702 RV,33,59,-26
Rasmussen Reports,12/10 - 12/12,1500 LV,41,57,-16
Reuters/Ipsos,12/8 - 12/12,1457 A,33,61,-28
Harvard-Harris,12/8 - 12/11,1989 RV,41,59,-18
Quinnipiac,12/6 - 12/11,1211 RV,37,57,-20
Marist,12/4 - 12/7,1079 RV,39,55,-16
CBS News,12/3 - 12/5,1120 A,36,57,-21
Economist/YouGov,12/3 - 12/5,1341 RV,43,52,-9
Reuters/Ipsos,12/1 - 12/5,1548 A,37,59,-22
Rasmussen Reports,12/3 - 12/5,1500 LV,42,56,-14
Quinnipiac,11/29 - 12/4,1508 RV,35,58,-23
Pew Research,11/29 - 12/4,RV,34,62,-28
IBD/TIPP,11/27 - 12/4,901 A,36,59,-23
Economist/YouGov,11/26 - 11/28,1319 RV,43,53,-10
Rasmussen Reports,11/26 - 11/28,1500 LV,41,57,-16
Reuters/Ipsos,11/24 - 11/28,1969 A,38,57,-19
Economist/YouGov,11/19 - 11/21,1344 RV,40,55,-15
Reuters/Ipsos,11/17 - 11/22,1489 A,36,59,-23
Quinnipiac,11/15 - 11/20,1415 RV,38,55,-17
NPR/PBS/Marist,11/13 - 11/15,802 RV,42,54,-12
Economist/YouGov,11/12 - 11/14,1281 RV,39,56,-17
Harvard-Harris,11/11 - 11/14,2350 RV,41,59,-18
Rasmussen Reports,11/12 - 11/14,1500 LV,45,53,-8
Reuters/Ipsos,11/10 - 11/14,1520 A,37,59,-22
Quinnipiac,11/7 - 11/13,1577 RV,35,58,-23
Marist,11/6 - 11/9,850 RV,39,55,-16
Economist/YouGov,11/5 - 11/7,1336 RV,40,55,-15
Rasmussen Reports,11/5 - 11/7,1500 LV,42,57,-15
Reuters/Ipsos,11/3 - 11/7,1572 A,35,60,-25
CNN,11/2 - 11/5,RV,38,57,-19
IBD/TIPP,10/26 - 11/3,917 A,36,58,-22
ABC News/Wash Post,10/29 - 11/1,884 RV,38,58,-20
Economist/YouGov,10/29 - 10/31,1291 RV,43,52,-9
Reuters/Ipsos,10/27 - 10/31,1798 A,36,60,-24
Rasmussen Reports,10/29 - 10/31,1500 LV,43,55,-12
CBS News,10/27 - 10/30,1109 A,39,55,-16
PPP (D),10/27 - 10/29,572 RV,38,56,-18
Pew Research,10/25 - 10/30,1504 A,34,59,-25
NBC News/Wall St. Jrnl,10/23 - 10/26,900 A,38,58,-20
FOX News,10/22 - 10/24,1005 RV,38,57,-19
Economist/YouGov,10/22 - 10/24,1312 RV,41,56,-15
Reuters/Ipsos,10/20 - 10/24,2352 A,35,60,-25
Rasmussen Reports,10/22 - 10/24,1500 LV,42,56,-14
Harvard-Harris,10/14 - 10/18,2159 RV,42,58,-16
Marist,10/15 - 10/17,928 RV,38,54,-16
Rasmussen Reports,10/15 - 10/17,1500 LV,43,55,-12
Reuters/Ipsos,10/13 - 10/17,1678 A,38,58,-20
Economist/YouGov,10/15 - 10/16,1326 RV,41,54,-13
CNN,10/12 - 10/15,RV,38,57,-19
Emerson,10/12 - 10/14,820 RV,44,50,-6
Economist/YouGov,10/7 - 10/10,1278 RV,41,53,-12
Reuters/Ipsos,10/6 - 10/10,1584 A,36,59,-23
Quinnipiac,10/5 - 10/10,1482 RV,38,56,-18
Rasmussen Reports,10/8 - 10/10,1500 LV,43,56,-13
Economist/YouGov,10/1 - 10/3,1298 RV,42,55,-13
IBD/TIPP,9/29 - 10/8,887 A,33,61,-28
Reuters/Ipsos,9/30 - 10/3,1659 A,37,58,-21
Rasmussen Reports,10/1 - 10/3,1500 LV,44,55,-11
USA Today/Suffolk,9/27 - 10/1,1000 RV,38,56,-18
CNN,9/26 - 9/28,1037 A,37,56,-19
PBS/Marist,9/25 - 9/27,886 RV,39,54,-15
CNBC,9/24 - 9/27,800 A,38,52,-14
FOX News,9/24 - 9/26,1017 RV,42,53,-11
Economist/YouGov,9/24 - 9/26,1254 RV,40,55,-15
Reuters/Ipsos,9/22 - 9/26,3429 A,38,57,-19
Rasmussen Reports,9/24 - 9/26,1500 LV,43,56,-13
PPP (D),9/22 - 9/25,865 RV,42,53,-11
Quinnipiac,9/21 - 9/26,1412 RV,36,57,-21
CBS News,9/21 - 9/24,1202 A,35,55,-20
ABC News/Wash Post,9/18 - 9/21,RV,42,54,-12
CNN,9/17 - 9/20,RV,42,53,-11
Economist/YouGov,9/17 - 9/19,1292 RV,43,51,-8
Monmouth,9/15 - 9/19,857 RV,42,48,-6
Reuters/Ipsos,9/15 - 9/19,1557 A,39,55,-16
Rasmussen Reports,9/17 - 9/19,1500 LV,42,56,-14
NBC News/Wall St. Jrnl,9/14 - 9/18,900 A,43,52,-9
Marist,9/11 - 9/13,1009 RV,41,50,-9
Economist/YouGov,9/10 - 9/12,1313 RV,42,54,-12
Rasmussen Reports,9/10 - 9/12,1500 LV,42,56,-14
Reuters/Ipsos,9/8 - 9/12,1669 A,35,59,-24
Economist/YouGov,9/3 - 9/5,1309 RV,42,54,-12
Rasmussen Reports,9/3 - 9/5,1500 LV,45,53,-8
Reuters/Ipsos,9/1 - 9/5,1672 A,40,57,-17
FOX News,8/27 - 8/29,1006 RV,41,55,-14
Economist/YouGov,8/27 - 8/29,1278 RV,40,55,-15
IBD/TIPP,8/23 - 8/31,905 A,38,57,-19
Rasmussen Reports,8/27 - 8/29,1500 LV,41,58,-17
Reuters/Ipsos,8/25 - 8/29,1767 A,37,58,-21
Economist/YouGov,8/20 - 8/22,1327 RV,40,54,-14
Reuters/Ipsos,8/18 - 8/22,2744 A,36,59,-23
Quinnipiac,8/17 - 8/22,1514 RV,35,59,-24
Rasmussen Reports,8/20 - 8/22,1500 LV,41,57,-16
PPP (D),8/18 - 8/21,887 RV,40,53,-13
ABC News/Wash Post,8/16 - 8/20,RV,39,58,-19
GWU/Battleground,8/13 - 8/17,1000 RV,42,53,-11
Pew Research,8/8 - 8/21,4971 A,36,63,-27
NPR/PBS/Marist,8/14 - 8/15,859 RV,38,51,-13
Economist/YouGov,8/13 - 8/15,1291 RV,42,54,-12
Reuters/Ipsos,8/11 - 8/15,1587 A,35,58,-23
Rasmussen Reports,8/13 - 8/15,1500 LV,40,58,-18
Quinnipiac,8/9 - 8/15,1361 RV,39,57,-18
Monmouth,8/10 - 8/14,706 RV,42,49,-7
Marist,8/8 - 8/12,883 RV,37,55,-18
Economist/YouGov,8/6 - 8/8,1303 RV,40,54,-14
Rasmussen Reports,8/6 - 8/8,1500 LV,42,56,-14
Reuters/Ipsos,8/4 - 8/8,1671 A,37,59,-22
CBS News,8/3 - 8/6,1111 A,36,58,-22
CNN,8/3 - 8/6,RV,40,56,-16
IBD/TIPP,7/28 - 8/5,904 A,32,59,-27
Economist/YouGov,7/31 - 8/1,1329 RV,39,55,-16
Rasmussen Reports,7/30 - 8/1,1500 LV,38,62,-24
Reuters/Ipsos,7/28 - 8/1,3130 A,37,59,-22
Quinnipiac,7/27 - 8/1,1125 RV,33,61,-28
Economist/YouGov,7/23 - 7/25,1282 RV,41,54,-13
Rasmussen Reports,7/23 - 7/25,1500 LV,43,57,-14
Reuters/Ipsos,7/21 - 7/25,1532 A,35,59,-24
FOX News,7/16 - 7/18,1020 RV,41,53,-12
Rasmussen Reports,7/16 - 7/18,1500 LV,42,58,-16
PPP (D),7/14 - 7/17,836 RV,41,55,-14
Economist/YouGov,7/15 - 7/18,1273 RV,39,56,-17
Reuters/Ipsos,7/14 - 7/18,1470 A,38,58,-20
Monmouth,7/13 - 7/16,713 RV,40,52,-12
ABC News/Wash Post,7/10 - 7/13,RV,39,56,-17
Bloomberg,7/8 - 7/12,1001 A,40,56,-16
Economist/YouGov,7/9 - 7/11,1284 RV,41,52,-11
Rasmussen Reports,7/9 - 7/11,1500 LV,45,55,-10
Reuters/Ipsos,7/7 - 7/11,1530 A,40,56,-16
Economist/YouGov,7/3 - 7/4,1323 RV,41,53,-12
Reuters/Ipsos,6/30 - 7/4,1600 A,38,57,-19
IBD/TIPP,6/23 - 6/29,900 A,37,58,-21
